Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1961","1961","t","10997000","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1962","1962","t","12072000","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1963","1963","t","10776000","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1964","1964","t","9853000","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1965","1965","t","12257000","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1966","1966","t","10394000","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1967","1967","t","11393000","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1968","1968","t","16540100","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1969","1969","t","18651600","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1970","1970","t","20093296","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1971","1971","t","23832496","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1972","1972","t","26409904","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1973","1973","t","24734608","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1974","1974","t","21778000","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1975","1975","t","24104400","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1976","1976","t","28846304","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1977","1977","t","29009904","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1978","1978","t","31749200","A","Official value",""
